pcode,lugar,metrica,etiqueta_hxl,valor,observado_en,fuente,tipo_de_fuente,url_fuente,notas
CO76001,"Cali, Valle del Cauca",people_trapped,#affected+trapped,239,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76001,"Cali, Valle del Cauca",people_rescued,#affected+rescued,87,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76001,"Cali, Valle del Cauca",missing_reported,#affected+missing,180,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76001,"Cali, Valle del Cauca",buildings_collapsed,#infra+housing+destroyed,56,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76001,"Cali, Valle del Cauca",health_facilities_affected,#infra+health+damaged,10,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,Hospitales inhabilitados.
CO66001,"Pereira, Risaralda",deaths_confirmed,#affected+killed,66,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,Cifra preliminar; la más alta del país por municipio.
CO66001,"Pereira, Risaralda",missing_reported,#affected+missing,37,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO66001,"Pereira, Risaralda",people_trapped,#affected+trapped,15,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO66001,"Pereira, Risaralda",buildings_collapsed,#infra+housing+destroyed,66,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,Edificios destruidos completamente.
CO66001,"Pereira, Risaralda",buildings_partially_collapsed,#infra+housing+collapsed+partial,26,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO17001,"Manizales, Caldas",deaths_confirmed,#affected+killed,5,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO17001,"Manizales, Caldas",injured,#affected+injured,78,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO17001,"Manizales, Caldas",buildings_collapsed,#infra+housing+destroyed,17,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO17001,"Manizales, Caldas",buildings_partially_collapsed,#infra+housing+collapsed+partial,19,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO17001,"Manizales, Caldas",people_affected,#affected+total,4000,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,Damnificados.
CO27001,"Quibdó, Chocó",deaths_confirmed,#affected+killed,9,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO27001,"Quibdó, Chocó",injured,#affected+injured,103,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO27001,"Quibdó, Chocó",people_trapped,#affected+trapped,6,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,En una edificación del barrio Medrano.
CO27001,"Quibdó, Chocó",missing_reported,#affected+missing,5,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76,,deaths_confirmed,#affected+killed,27,2026-08-11T12:00:00-05:00,Infobae — Gobernación del Valle,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,Valle del Cauca sin contar Cali. Incluye tres niños en Calima El Darién.
CO27073,"Bagadó, Chocó",buildings_damaged,#infra+housing+damaged,1960,2026-08-12T23:29:44.463Z,Alcaldía de Bagadó — balance oficial,official,https://bagadochoco.micolombiadigital.gov.co/noticias/alcaldia-municipal-de-bagado-reporta-afectaciones-tras,
CO27073,"Bagadó, Chocó",buildings_collapsed,#infra+housing+destroyed,43,2026-08-12T23:29:44.463Z,Alcaldía de Bagadó — balance oficial,official,https://bagadochoco.micolombiadigital.gov.co/noticias/alcaldia-municipal-de-bagado-reporta-afectaciones-tras,Viviendas destruidas.
CO27073,"Bagadó, Chocó",people_affected,#affected+total,7840,2026-08-12T23:29:44.463Z,Alcaldía de Bagadó — balance oficial,official,https://bagadochoco.micolombiadigital.gov.co/noticias/alcaldia-municipal-de-bagado-reporta-afectaciones-tras,
CO27073,"Bagadó, Chocó",injured,#affected+injured,10,2026-08-12T23:29:44.463Z,Alcaldía de Bagadó — balance oficial,official,https://bagadochoco.micolombiadigital.gov.co/noticias/alcaldia-municipal-de-bagado-reporta-afectaciones-tras,
CO27073,"Bagadó, Chocó",schools_affected,#infra+education+damaged,6,2026-08-12T23:29:44.463Z,Alcaldía de Bagadó — balance oficial,official,https://bagadochoco.micolombiadigital.gov.co/noticias/alcaldia-municipal-de-bagado-reporta-afectaciones-tras,
CO27361,"Istmina, Chocó",buildings_damaged,#infra+housing+damaged,552,2026-08-12T01:31:12.720Z,Alcaldía de Istmina — balance oficial,official,https://istminachoco.micolombiadigital.gov.co/noticias/alcalde-de-istmina-entrega-balance-preliminar-de-afectaciones,
CO27361,"Istmina, Chocó",injured,#affected+injured,70,2026-08-12T01:31:12.720Z,Alcaldía de Istmina — balance oficial,official,https://istminachoco.micolombiadigital.gov.co/noticias/alcalde-de-istmina-entrega-balance-preliminar-de-afectaciones,Entre ellas dos integrantes de la Policía Nacional.
CO27361,"Istmina, Chocó",people_affected,#affected+total,3000,2026-08-12T01:31:12.720Z,Alcaldía de Istmina — balance oficial,official,https://istminachoco.micolombiadigital.gov.co/noticias/alcalde-de-istmina-entrega-balance-preliminar-de-afectaciones,La alcaldía escribe «aproximadamente 3.000».
CO27361,"Istmina, Chocó",deaths_confirmed,#affected+killed,0,2026-08-12T01:31:12.720Z,Alcaldía de Istmina — balance oficial,official,https://istminachoco.micolombiadigital.gov.co/noticias/alcalde-de-istmina-entrega-balance-preliminar-de-afectaciones,
CO27450,"Medio San Juan, Chocó",buildings_collapsed,#infra+housing+destroyed,3,2026-08-11T12:29:30.057Z,Alcaldía de Medio San Juan — balance oficial,official,https://mediosanjuanchoco.micolombiadigital.gov.co/noticias/reporte-preliminar-de-emergencias--sismo,Viviendas totalmente destruidas.
CO27450,"Medio San Juan, Chocó",buildings_partially_collapsed,#infra+housing+collapsed+partial,15,2026-08-11T12:29:30.057Z,Alcaldía de Medio San Juan — balance oficial,official,https://mediosanjuanchoco.micolombiadigital.gov.co/noticias/reporte-preliminar-de-emergencias--sismo,Parcialmente destruidas e inhabitables.
CO27450,"Medio San Juan, Chocó",people_affected,#affected+total,390,2026-08-11T12:29:30.057Z,Alcaldía de Medio San Juan — balance oficial,official,https://mediosanjuanchoco.micolombiadigital.gov.co/noticias/reporte-preliminar-de-emergencias--sismo,
CO27450,"Medio San Juan, Chocó",health_facilities_affected,#infra+health+damaged,1,2026-08-11T12:29:30.057Z,Alcaldía de Medio San Juan — balance oficial,official,https://mediosanjuanchoco.micolombiadigital.gov.co/noticias/reporte-preliminar-de-emergencias--sismo,Afectaciones en la farmacia del Hospital.
CO27413,"Lloró, Chocó",buildings_damaged,#infra+housing+damaged,140,2026-08-11T16:15:26.157Z,Alcaldía de Lloró — balance oficial,official,https://llorochoco.micolombiadigital.gov.co/noticias/la-alcaldia-de-lloro-continua-atendiendo-las-afectaciones,"La alcaldía escribe «aproximadamente 140». De ellas, 4 con afectación grave."
CO27160,"Cértegui, Chocó",buildings_damaged,#infra+housing+damaged,35,2026-08-12T19:47:55.130Z,Alcaldía de Cértegui — balance oficial,official,https://certeguichoco.micolombiadigital.gov.co/noticias/informacion-oficial-sobre-situacion-tras-el-sismo-en,
CO27160,"Cértegui, Chocó",deaths_confirmed,#affected+killed,0,2026-08-12T19:47:55.130Z,Alcaldía de Cértegui — balance oficial,official,https://certeguichoco.micolombiadigital.gov.co/noticias/informacion-oficial-sobre-situacion-tras-el-sismo-en,
CO27160,"Cértegui, Chocó",injured,#affected+injured,0,2026-08-12T19:47:55.130Z,Alcaldía de Cértegui — balance oficial,official,https://certeguichoco.micolombiadigital.gov.co/noticias/informacion-oficial-sobre-situacion-tras-el-sismo-en,
CO63470,"Montenegro, Quindio",buildings_damaged,#infra+housing+damaged,1000,2026-08-12T23:20:23.230Z,Alcaldía de Montenegro — balance oficial,official,https://montenegroquindio.micolombiadigital.gov.co/noticias/gobierno-de-montenegro-sigue-liderando-el-analisis-del,La alcaldía escribe «más de 1.000»; se registra el piso.
CO63548,"Pijao, Quindio",buildings_damaged,#infra+housing+damaged,73,2026-08-12T02:14:00.143Z,Alcaldía de Pijao — balance oficial,official,https://pijaoquindio.micolombiadigital.gov.co/noticias/seguimos-atendiendo-la-emergencia-en-pijao,Predios afectados: 48 urbanos y 25 rurales.
CO63548,"Pijao, Quindio",buildings_collapsed,#infra+housing+destroyed,7,2026-08-12T02:14:00.143Z,Alcaldía de Pijao — balance oficial,official,https://pijaoquindio.micolombiadigital.gov.co/noticias/seguimos-atendiendo-la-emergencia-en-pijao,"Predios con colapso total, inhabitables."
CO17050,"Aranzazu, Caldas",buildings_collapsed,#infra+housing+destroyed,1,2026-08-11T19:11:57.143Z,Alcaldía de Aranzazu — balance oficial,official,https://aranzazucaldas.micolombiadigital.gov.co/noticias/la-alcaldia-de-aranzazu-emite-reporte-preliminar-de,
CO17050,"Aranzazu, Caldas",buildings_damaged,#infra+housing+damaged,100,2026-08-11T19:11:57.143Z,Alcaldía de Aranzazu — balance oficial,official,https://aranzazucaldas.micolombiadigital.gov.co/noticias/la-alcaldia-de-aranzazu-emite-reporte-preliminar-de,"La alcaldía escribe «cerca de 100», con diversos niveles de afectación estructural."
CO17050,"Aranzazu, Caldas",schools_affected,#infra+education+damaged,13,2026-08-11T19:11:57.143Z,Alcaldía de Aranzazu — balance oficial,official,https://aranzazucaldas.micolombiadigital.gov.co/noticias/la-alcaldia-de-aranzazu-emite-reporte-preliminar-de,Sedes educativas con averías.
CO76111,"Guadalajara de Buga, Valle del Cauca",buildings_damaged,#infra+housing+damaged,66,2026-08-10T23:02:59.283Z,Alcaldía de Guadalajara de Buga — balance oficial,official,https://guadalajaradebugavalledelcauca.micolombiadigital.gov.co/noticias/la-alcaldia-de-buga-presenta-el-balance-oficial-preliminar,Averiadas: 18 urbanas y 48 rurales.
CO76111,"Guadalajara de Buga, Valle del Cauca",buildings_collapsed,#infra+housing+destroyed,11,2026-08-10T23:02:59.283Z,Alcaldía de Guadalajara de Buga — balance oficial,official,https://guadalajaradebugavalledelcauca.micolombiadigital.gov.co/noticias/la-alcaldia-de-buga-presenta-el-balance-oficial-preliminar,
CO76111,"Guadalajara de Buga, Valle del Cauca",schools_affected,#infra+education+damaged,8,2026-08-10T23:02:59.283Z,Alcaldía de Guadalajara de Buga — balance oficial,official,https://guadalajaradebugavalledelcauca.micolombiadigital.gov.co/noticias/la-alcaldia-de-buga-presenta-el-balance-oficial-preliminar,3 urbanas y 5 rurales.
CO76111,"Guadalajara de Buga, Valle del Cauca",health_facilities_affected,#infra+health+damaged,5,2026-08-10T23:02:59.283Z,Alcaldía de Guadalajara de Buga — balance oficial,official,https://guadalajaradebugavalledelcauca.micolombiadigital.gov.co/noticias/la-alcaldia-de-buga-presenta-el-balance-oficial-preliminar,
CO,Colombia,deaths_confirmed,#affected+killed,265,2026-08-12T14:47:00-05:00,El Colombiano — balance de la UNGRD,press,https://www.elcolombiano.com/colombia/cifra-muertos-heridos-desaparecidos-por-terremoto-colombia-MK39884181,"Balance del presidente De la Espriella con cifras de la UNGRD, 12 de agosto 14:47. Sustituye al de 181 del día anterior."
CO,Colombia,injured,#affected+injured,3494,2026-08-12T14:47:00-05:00,El Colombiano — balance de la UNGRD,press,https://www.elcolombiano.com/colombia/cifra-muertos-heridos-desaparecidos-por-terremoto-colombia-MK39884181,
CO,Colombia,missing_reported,#affected+missing,496,2026-08-12T14:47:00-05:00,El Colombiano — balance de la UNGRD,press,https://www.elcolombiano.com/colombia/cifra-muertos-heridos-desaparecidos-por-terremoto-colombia-MK39884181,
CO,Colombia,people_affected,#affected+total,53816,2026-08-12T14:47:00-05:00,El Colombiano — balance de la UNGRD,press,https://www.elcolombiano.com/colombia/cifra-muertos-heridos-desaparecidos-por-terremoto-colombia-MK39884181,"La UNGRD dice «más de 53.816»; se registra el piso. Son PERSONAS, no viviendas."
CO,Colombia,buildings_collapsed,#infra+housing+destroyed,257,2026-08-12T14:47:00-05:00,"El Colombiano — estructuras colapsadas, cifra de Asocapitales",press,https://www.elcolombiano.com/colombia/cifra-muertos-heridos-desaparecidos-por-terremoto-colombia-MK39884181,"Cifra de Asocapitales citada en el mismo artículo, no de la UNGRD."
CO76001,"Cali, Valle del Cauca",deaths_confirmed,#affected+killed,96,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,
CO76001,"Cali, Valle del Cauca",missing_reported,#affected+missing,111,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,
CO76001,"Cali, Valle del Cauca",injured,#affected+injured,1224,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,
CO76001,"Cali, Valle del Cauca",people_rescued,#affected+rescued,88,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,Con 1.800 rescatistas activos en seis frentes de trabajo.
CO76001,"Cali, Valle del Cauca",buildings_collapsed,#infra+housing+destroyed,45,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,Colapso total.
CO76001,"Cali, Valle del Cauca",buildings_partially_collapsed,#infra+housing+collapsed+partial,35,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,
CO76001,"Cali, Valle del Cauca",buildings_damaged,#infra+housing+damaged,832,2026-08-12T20:00:00-05:00,"Alcaldía de Cali — PMU, boletín oficial",official,https://www.cali.gov.co/boletines/publicaciones/193643/cifras-y-datos-actualizados-del-terremoto-en-cali/,"Construcciones con daño estructural. Además, 18 edificios con orden de evacuación."
CO66001,"Pereira, Risaralda",deaths_confirmed,#affected+killed,83,2026-08-12T22:25:00-05:00,City TV (El Tiempo) — balance de Pereira,press,https://citytv.eltiempo.com/programas/citynoticias-de-las-8/pereira-mantiene-la-busqueda-de-desaparecidos-mientras-aumenta-el-balance-de-victimas-del-terremoto_94275,
CO66001,"Pereira, Risaralda",injured,#affected+injured,279,2026-08-12T22:25:00-05:00,City TV (El Tiempo) — balance de Pereira,press,https://citytv.eltiempo.com/programas/citynoticias-de-las-8/pereira-mantiene-la-busqueda-de-desaparecidos-mientras-aumenta-el-balance-de-victimas-del-terremoto_94275,
CO66001,"Pereira, Risaralda",missing_reported,#affected+missing,45,2026-08-12T22:25:00-05:00,City TV (El Tiempo) — balance de Pereira,press,https://citytv.eltiempo.com/programas/citynoticias-de-las-8/pereira-mantiene-la-busqueda-de-desaparecidos-mientras-aumenta-el-balance-de-victimas-del-terremoto_94275,
CO66001,"Pereira, Risaralda",buildings_collapsed,#infra+housing+destroyed,75,2026-08-12T22:25:00-05:00,City TV (El Tiempo) — balance de Pereira,press,https://citytv.eltiempo.com/programas/citynoticias-de-las-8/pereira-mantiene-la-busqueda-de-desaparecidos-mientras-aumenta-el-balance-de-victimas-del-terremoto_94275,
CO17001,"Manizales, Caldas",deaths_confirmed,#affected+killed,6,2026-08-12T18:00:00-05:00,Lea Pues — rueda de prensa del alcalde de Manizales,press,https://www.leapues.co/6-personas-fallecidas-mas-de-2-mil-damnificados-y-mas-de-550-revisiones-estructurales/,
CO17001,"Manizales, Caldas",injured,#affected+injured,182,2026-08-12T18:00:00-05:00,Lea Pues — rueda de prensa del alcalde de Manizales,press,https://www.leapues.co/6-personas-fallecidas-mas-de-2-mil-damnificados-y-mas-de-550-revisiones-estructurales/,
CO17001,"Manizales, Caldas",people_affected,#affected+total,2000,2026-08-12T18:00:00-05:00,Lea Pues — rueda de prensa del alcalde de Manizales,press,https://www.leapues.co/6-personas-fallecidas-mas-de-2-mil-damnificados-y-mas-de-550-revisiones-estructurales/,La alcaldía dice «más de 2.000»; se registra el piso.
CO17001,"Manizales, Caldas",buildings_damaged,#infra+housing+damaged,1970,2026-08-12T18:00:00-05:00,Lea Pues — rueda de prensa del alcalde de Manizales,press,https://www.leapues.co/6-personas-fallecidas-mas-de-2-mil-damnificados-y-mas-de-550-revisiones-estructurales/,Inmuebles con daño parcial.
CO17001,"Manizales, Caldas",buildings_collapsed,#infra+housing+destroyed,1150,2026-08-12T18:00:00-05:00,Lea Pues — rueda de prensa del alcalde de Manizales,press,https://www.leapues.co/6-personas-fallecidas-mas-de-2-mil-damnificados-y-mas-de-550-revisiones-estructurales/,"La alcaldía los reporta como «viviendas con daño total», que no es necesariamente colapso estructural."
CO17001,"Manizales, Caldas",people_displaced,#affected+displaced,243,2026-08-12T18:00:00-05:00,Lea Pues — rueda de prensa del alcalde de Manizales,press,https://www.leapues.co/6-personas-fallecidas-mas-de-2-mil-damnificados-y-mas-de-550-revisiones-estructurales/,"Albergadas en el Coliseo Mayor, más 17 mascotas."
CO,Colombia,people_affected,#affected+total,4400,2026-08-14T19:29:52.481Z,USGS,official,https://earthquake.usgs.gov/earthquakes/eventpage/us6000tjl2,Personas expuestas a deslizamiento según el modelo del USGS. Alerta: orange.
